problem,best_distance,average_distance,runtime_s,runs
problem_g_10,1497.6636482252907,1497.6636482252907,3.4602705467004853,10
problem_g_20,1755.5146770830045,1788.3415587266923,5.526541779900072,10
problem_g_50,2852.177779533272,3020.710531015222,13.683669568700498,10
problem_g_100,5386.701570678623,5870.2513371364175,32.94455932860001,10
problem_r1_10,184.27344079993895,184.27344079993895,3.449489940799322,10
problem_r1_20,340.8620701754516,346.22602313960465,5.566118678699786,10
problem_r1_50,604.4143888240318,650.8863282078794,13.657082049000746,10
problem_r1_100,1132.3645150642128,1199.3823233544185,32.95420741449925,10
problem_r2_10,-411.7017155524985,-411.7017155524985,3.4225154543000826,10
problem_r2_20,-858.6408283871713,-839.9048489528489,5.478681453900208,10
problem_r2_50,-2203.2103823400766,-2164.5328783554446,13.497915166099848,10
problem_r2_100,-4345.176365811977,-4260.0589649234735,32.479966340099416,10
